,web-scraper-start-url,Products-href,Image URL-src,product_name,main_category,product_type,style,fabric_top,fabric_bottom,color,occasion,season,price_pkr,discount,work_details,package_contents,worn_by,fit,shoe_color,shoe_style
0,https://www.andaazfashion.co.uk/men/kurta-pajama?p=55,https://www.andaazfashion.co.uk/green-embroidered-dupion-silk-mens-kurta-churidar-mkpa08956.html,https://assets2.andaazfashion.com/media/catalog/product/g/r/green-embroidered-dupion-silk-mens-kurta-churidar-mkpa08956-1.jpg,Green Embroidered Dupion Silk Men's Kurta Churidar,Men Kurta Pajama,Salwar Kameez,Straight Cut,Dupion Silk,Dupion Silk,Pure Green,"Diwali, Eid, Lohri, Navratri",All-season,23700,27%,Zari Work,Top (Kurta) & Bottom (Pajama),Men,66,Black,Traditional
1,https://www.andaazfashion.co.uk/men/kurta-pajama?p=7,https://www.andaazfashion.co.uk/embroidered-dupion-silk-trombone-yellow-men-kurta-pajama-mkpa02749.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/e/m/embroidered-dupion-silk-trombone-yellow-men-kurta-pajama-mkpa02749-1.jpg,Embroidered Dupion Silk Trombone Yellow Men Kurta Pajama,Indian Cloth,Salwar Kameez,Churidar,Dupion Silk,Art Silk,Trombone Yellow,"Wedding Wear, Guest of Wedding Wear, Festival Wear",All-season,72600,43,"Resham Work, Thread Work",Top (Kurta) & Bottom (Pajama),Men,"42, 36-40",Brown,Traditional
2,https://www.andaazfashion.co.uk/men/kurta-pajama?p=23,https://www.andaazfashion.co.uk/black-georgette-mens-kurta-pajama-with-embroidered-jacket-mstv04336.html,https://assets2.andaazfashion.com/media/catalog/product/b/l/black-georgette-mens-kurta-pajama-with-embroidered-jacket-mstv04336-1.jpg,Black Georgette Men's Kurta Pajama With Embroidered Jacket,Men's Clothing,Sherwani,Jacket Style,Georgette,Art Silk,Pure Black,"Wedding Wear, Guest of Wedding Wear, Sangeet, Engagement",All-season,89700,11%,Sequins Work,"Top (Sherwani) & Bottom (Pajama), Jacket",Men,Up to 68 inches,Black,Traditional
3,https://www.andaazfashion.co.uk/men/kurta-pajama?p=46,https://www.andaazfashion.co.uk/cotton-silk-pastel-pink-jacket-style-mens-plain-kurta-churidar-mkpa07531.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-silk-pastel-pink-jacket-style-mens-plain-kurta-churidar-mkpa07531-1.jpg,Cotton Silk Pastel Pink Jacket Style Men's Plain Kurta Churidar,Indian Cloth,Salwar Kameez,Churidar,Cotton Silk,Cotton Silk,Pastel Pink,"Wedding Wear, Guest of Wedding Wear, Sangeet",All-season,43500,35,Plain Work,"Kurta (Included Lining), Jacket, Bottom & Dupatta",Men,36-46,Peach,Traditional
4,https://www.andaazfashion.co.uk/men/sherwani?p=34,https://www.andaazfashion.co.uk/mint-green-silk-embroidered-mens-sherwani-for-engagement-mstv03804.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/i/mint-green-silk-embroidered-mens-sherwani-for-engagement-mstv03804-1.jpg,Mint Green Silk Embroidered Men's Sherwani For Engagement,Men,Sherwani,Churidar,Silk,Dupion Silk,Mint Green,"Wedding Wear, Engagement",All-season,121200,43,"Beads Work, Resham Work, Sequins Work, Stone Work, Thread Work",Top (Sherwani) & Bottom (Pajama) & Dupatta,Men,Up to 44 inches,Black,Traditional
5,https://www.andaazfashion.co.uk/men/sherwani?p=30,https://www.andaazfashion.co.uk/off-white-silk-wedding-sherwani-with-dhoti-pant-mkpv0117.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/o/f/off-white-silk-wedding-sherwani-with-dhoti-pant-mkpv0117-1.jpg,Off White Silk Wedding Kurta With Dhoti Pant,Indian Cloth,Trouser Suit,Traditional,Silk,Raw Silk,Off White,"Wedding Wear, Party Wear, Guest of Wedding Wear",All-season,32700,43,,"Top (Kurta), Bottom (Dhoti)",Indian Women,,,
6,https://www.andaazfashion.co.uk/men/sherwani?p=24,https://www.andaazfashion.co.uk/woven-silk-white-men-sherwani-mstv01972.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/o/woven-silk-white-men-sherwani-mstv01972-1.jpg,Woven Silk White Men Sherwani,Men,Sherwani,Traditional,Silk,Silk,Pure White,"Wedding Wear, Festival Wear, Sangeet",All-season,58200,43%,Woven,Top (Sherwani) & Bottom (Pajama),Men,44,Matching,Traditional
7,https://www.andaazfashion.co.uk/men/sherwani?p=62,https://www.andaazfashion.co.uk/exclusive-woven-charcoal-grey-mens-kurta-churidar-mkpa04588.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/e/x/exclusive-woven-charcoal-grey-mens-kurta-churidar-mkpa04588-1.jpg,Exclusive Woven Charcoal Grey Men's Kurta Churidar,Men Kurta Pajama,Salwar Kameez,Jacket Style,Dupion Silk,Dupion Silk,Charcoal Grey,"Traditional, Wedding Wear, Guest of Wedding Wear, Sangeet",All-season,37200,23%,Plain Work,"Kurta (Included Lining), Jacket, Bottom & Dupatta",Men,Up to 46 inches,Beige-Dark,Traditional
8,https://www.andaazfashion.co.uk/men/sherwani?p=66,https://www.andaazfashion.co.uk/cotton-embroidered-mint-green-straight-cut-mens-kurta-churidar-mkpa05762.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-embroidered-mint-green-straight-cut-mens-kurta-churidar-mkpa05762-1.jpg,Cotton Embroidered Mint Green Straight Cut Men's Kurta Churidar,Indian Cloth,Salwar Kameez,Traditional,Cotton,Poly Cotton,Mint Green,"Casual Wear, Navratri",All-season,29700,43%,"Patch Work, Resham Work, Thread Work",Top (Kurta) & Bottom (Pajama),Indian Men,44,Brown,Traditional
9,https://www.andaazfashion.co.uk/men/weddingwear?p=68,https://www.andaazfashion.co.uk/banarasi-silk-printed-mens-kurta-churidar-in-mint-blue-mkpa04505.html,https://assets2.andaazfashion.com/media/catalog/product/b/a/banarasi-silk-printed-mens-kurta-churidar-in-mint-blue-mkpa04505-1.jpg,Banarasi Silk Printed Men's Kurta Churidar in Mint Blue,Men Kurta Pajama,Salwar Kameez,Traditional,Banarasi Silk,Dupion Silk,Mint Blue,"Wedding Wear, Guest of Wedding Wear, Sangeet",All-season,19200,43%,"Resham Work, Thread Work, Printed",Top (Kurta) & Bottom (Pajama),Men,Up to 46 inches,Brown,Traditional
10,https://www.andaazfashion.co.uk/men/kurta-pajama?p=122,https://www.andaazfashion.co.uk/light-yellow-cotton-printed-straight-cut-mens-kurta-pajama-mkpa08630.html,https://assets2.andaazfashion.com/media/catalog/product/l/i/light-yellow-cotton-printed-straight-cut-mens-kurta-pajama-mkpa08630-1.jpg,Light Yellow Cotton Printed Straight Cut Men's Kurta Pajama,Men's Clothing,Salwar Kameez,Straight Cut,Cotton,Dupion Silk,Light Yellow,"Diwali, Eid, Lohri, Navratri",All-season,35700,13%,"Resham Work, Sequins Work, Thread Work, Printed",Top (Kurta) & Bottom (Pajama),Men,Up to 52 inches chest size,Brown,Traditional
