,web-scraper-order,web-scraper-start-url,Products-href,Package Content,Image URL-src,product_name,main_category,product_type,style,fabric_top,fabric_bottom,color,occasion,season,price_pkr,discount,work_details,package_contents,worn_by,fit,shoe_color,shoe_style
0,1751677113-1,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20,https://www.andaazfashion.com/olive-green-silk-anarkali-suit-with-dori-work-lstv03982.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/l/s/lstv03982-green.jpg,Olive Green Taffeta Silk Anarkali Suit With Dori Work,Women,Anarkali,Fancy,Taffeta Silk,Santoon/Lycra,Olive Green,"Bridal Wear, Guest Of Wedding Wear, Party Wear, Wedding Wear, Valentine Wear",All-season,57900,23%,"Zari Work, Sequins Work, Dori Work","Top (Included Lining), Bottom and Scarf",Women,"40, 32-38",Gold,Heels
1,1751677123-2,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20,https://www.andaazfashion.com/thread-work-embroidered-georgette-dark-pink-party-wear-anarkali-suit-lstv113556.html,"Thread Work, Faux Mirror",https://assets2.andaazfashion.com/media/catalog/product/t/h/thread-work-embroidered-georgette-dark-pink-party-wear-anarkali-suit-lstv113556-1_1.jpg,Thread Work Embroidered Georgette Dark Pink Party Wear Anarkali Suit,Women,Anarkali,Heavy Work,Georgette,Santoon,Dark Pink,"Wedding Wear, Party Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,63900,35%,"Thread Work, Faux Mirror","Thread Work, Faux Mirror",Women,Not specified,Matching Dark Pink or Gold,Heels or Sandals
2,1751677140-3,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20,https://www.andaazfashion.com/mauve-pink-dupion-silk-embroidered-anarkali-suit-lstv111924.html,"Stone Work, Zari",https://assets2.andaazfashion.com/media/catalog/product/m/a/mauve-pink-dupion-silk-embroidered-anarkali-suit-lstv111924-1_1.jpg,Rouge Pink Dupion Silk Embroidered Anarkali Suit,Women,Anarkali,Heavy Work,Dupion Silk,Santoon/ Lycra,Pink,"Wedding Wear, Party Wear, Bridesmaid Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,75900,23%,"Stone Work, Zari","Stone Work, Zari",Women,,,
3,1751677148-4,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20,https://www.andaazfashion.com/light-green-thread-embroidered-anarkali-suit-lstv111228.html,"Stone Work, Thread Work, Zari",https://assets2.andaazfashion.com/media/catalog/product/l/i/light-green-thread-embroidered-anarkali-suit-lstv111228-1.jpg,Eid Light Green Thread Embroidered Anarkali Suit,Women,Anarkali,Traditional,Net,Santoon,Light Green,"Wedding Wear, Party Wear, Bridesmaid Wear, Guest of Wedding Wear, Mehndi, Festival Wear",All-season,51600,43%,"Stone Work, Thread Work, Zari","Stone Work, Thread Work, Zari",Women,,,
4,1751677159-5,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20,https://www.andaazfashion.com/bubble-gum-pink-net-embroidered-anarkali-suit-lstv110079.html,"Stone Work, Zari, Resham",https://assets2.andaazfashion.com/media/catalog/product/b/u/bubble-gum-pink-net-embroidered-anarkali-suit-lstv110079-1.jpg,Bubble Gum Pink Net Embroidered Anarkali Suit,Women,Anarkali,Heavy Work,Net,Santoon,Bubble Gum Pink,"Wedding Wear, Party Wear, Bridesmaid Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,67800,10%,"Stone Work, Zari, Resham","Stone Work, Zari, Resham",Women,Not specified,Matching color,Heels or sandals
5,1751677168-6,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20,https://www.andaazfashion.com/black-eid-special-georgette-anarkali-suit-lstv09914.html,Plain,https://assets2.andaazfashion.com/media/catalog/product/b/l/black-eid-special-georgette-anarkali-suit-lstv09914-1_1.jpg,Black Eid Special Georgette Anarkali Suit for Eid,Women,Anarkali,Traditional,Georgette,Art Silk,Black,"Wedding Wear, Party Wear, Festival Wear, Guest Of Wedding Wear",All-season,60000,19%,Plain,Plain,Muslim Women,40-42,Black,Heels
6,1751677175-7,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20,https://www.andaazfashion.com/white-georgette-anarkali-suit-with-multi-color-straight-pant-lstv09917.html,Plain,https://assets2.andaazfashion.com/media/catalog/product/w/h/white-georgette-anarkali-suit-with-multi-color-straight-pant-lstv09917-1_1.jpg,White Georgette Anarkali Suit With Churidar for Eid,Women,Anarkali,Traditional,Georgette,Lycra,White,"Wedding Wear, Party Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,45900,43%,Plain,Not specified,Muslim Women,Not specified,Not specified,Not specified
7,1751677189-8,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20,https://www.andaazfashion.com/gota-patti-embroidered-net-bluish-grey-anarkali-suit-lstv08557.html,"Resham Work,",https://assets2.andaazfashion.com/media/catalog/product/g/o/gota-patti-embroidered-net-bluish-grey-anarkali-suit-lstv08557-1.jpg,Zari Embroidered Net Bluish Grey Anarkali Suit,Women,Anarkali,Heavy Work,Net,Santoon/Lycra,Bluish Grey,"Wedding Wear, Party Wear, Bridesmaid Wear, Festival Wear, Sangeet, Guest Of Wedding Wear",All-season,100200,35%,Resham Work,Resham Work,Women,40-42,Silver,Heels
8,1751677208-9,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20,https://www.andaazfashion.com/catalog/product/view/id/77799/s/dark-maroon-georgette-embroidered-anarkali-suit-lstv08392/category/65/,"Lace,Stone Work,Zari",https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-maroon-georgette-embroidered-anarkali-suit-lstv08392-1.jpg,Floor Length Anarkali Suit in Georgette Dark Maroon for Wedding,Women,Anarkali,Traditional,Georgette,Santoon,Dark Maroon,"Wedding Wear, Party Wear, Guest of Wedding Wear, Festival Wear, Mother of the Bride, Sangeet",All-season,66000,30%,"Lace, Stone Work, Zari","Lace, Stone Work, Zari",Women,40-42,Gold,Heels
9,1751677220-10,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20,https://www.andaazfashion.com/stone-work-embroidered-net-mint-green-anarkali-suit-lstv08426.html,"Dori Work,Sequins,Stone Work,Zari",https://assets2.andaazfashion.com/media/catalog/product/s/t/stone-work-embroidered-net-mint-green-anarkali-suit-lstv08426-1.jpg,Stone Work Embroidered Net Mint Green Eid Anarkali Suit,Women,Anarkali,Traditional,Net,Net,Mint Green,"Party Wear, Bridesmaid Wear, Guest of Wedding Wear, Mehndi, Festival Wear, Mother of the Bride",All-season,81900,29%,"Dori Work, Sequins, Stone Work, Zari","Dori Work, Sequins, Stone Work, Zari",Women,,,
10,1751677227-11,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20,https://www.andaazfashion.com/dark-blue-banglori-silk-wedding-anarkali-suit-with-zari-work-lsta00010.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-blue-banglori-silk-wedding-anarkali-suit-with-zari-work-1-lsta00010.jpg,Dark Blue Banglori Silk Wedding Anarkali Suit With Zari Work,Women,Anarkali,Traditional,Banglori Silk,Banglori Silk,Dark Blue,"Party Wear, Sangeet, Wedding Wear",All-season,47700,27%,"Zari Work, Stone Work, Sequins Work, Dori Work","Top (Included Lining), Bottom and Scarf",Women,,,
11,1751677246-12,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/maroon-color-georgette-anarkali-with-straight-pant-suit-lstv04549.html,"Zari Work, Kundan Work, Dori Work",https://assets2.andaazfashion.com/media/catalog/product/m/a/maroon-color-georgette-anarkali-with-straight-pant-suit-1-lstv04549.jpg,Maroon Color Georgette Anarkali With Straight Pant Suit,Women,Anarkali,Traditional,Georgette,Santoon,Maroon,"Bridesmaid Wear, Festival Wear, Party Wear",All-season,45900,27%,"Zari Work, Kundan Work, Dori Work","Zari Work, Kundan Work, Dori Work",Women,"40, 42, 44","Gold, Silver","Heels, Sandals"
12,1751677262-14,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/georgette-green-anarkali-suit-lstv01796.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/g/r/green-anarkali-suit-1-lstv01796.jpg,Georgette Green Anarkali Suit,Women,Anarkali,Traditional,Georgette,Santoon,Green,"Festival Wear, Party Wear, Diwali, Navratri Dresses, Sangeet, Mehndi",All-season,47700,27%,"Resham Work, Crystal Work, Hand Work, Sequins Work, Thread Work","Top (Included Lining), Bottom and Scarf",Women,,,
13,1751677268-15,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/hooker-s-green-georgette-embroidered-anarkali-suit-lstv01788.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/g/r/green-anarkali-suit-1-lstv01788.jpg,Bluish Grey Georgette Embroidered Anarkali Suit,Women,Anarkali,Heavy Work,Georgette,Santoon,Bluish Grey,"Festival Wear, Wedding Wear, Party Wear, Sangeet, Mehndi",All-season,47700,24%,"Crystal Work, Stone Work, Beads Work, Hand Work, Sequins Work, Embroidered Work","Top (Included Lining), Bottom and Scarf",Women,,,
14,1751677276-16,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/dazzling-yellow-silk-anarkali-suit-with-stone-work-lstv01519b.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/y/e/yellow-anarkali-suit-1-lstv01519b.jpg,Two Tone Taffeta Silk Eid Anarkali Suit In Mustard Color,Women,Anarkali,Fancy,Two Tone Taffeta Silk,Lycra,Mustard,"Wedding Wear, Party Wear, Sangeet, Mahendi, Guest of Wedding Wear",All-season,54000,20%,"Stone Work, Zari Work, Resham Work","Top (Included Lining), Bottom and Scarf",Women,40-42,Gold,Heels
15,1751677286-17,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/georgette-russian-green-straight-pant-suit-lstv01035.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/g/r/green-straight-pant-1-lstv01035_1_1.jpg,Sage Green Crepe Straight Suit With Trouser for Eid,Pakistani Cloth,Trouser Suit,Traditional,Crepe,Crepe,Sage Green,"Festival wear, Party Wear, Sangeet, Mahendi",All-season,39900,41%,"Resham Work, Zari Work, Stone Work","Top (Included Lining), Bottom and Scarf",Pakistani Women,"40, 32-38","Green, Gold","Heels, Sandals"
16,1751677307-19,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/mauve-taupe-georgette-embroidered-front-slit-anarkali-suit-lstv135198.html,"Diwali,Eid,Navratri",https://assets2.andaazfashion.com/media/catalog/product/m/a/mauve-taupe-georgette-embroidered-front-slit-anarkali-suit-lstv135198-1.jpg,Mauve Taupe Georgette Embroidered Front Slit Anarkali Suit,Women,Anarkali,Traditional,Georgette,Georgette,Mauve Taupe,"Party Wear, Festival Wear",All-season,47700,17%,Embroidered,"Diwali, Eid, Navratri",Women,"40, 42, 44","Gold, Silver","Heels, Sandals"
17,1751677314-20,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/plum-purple-georgette-embroidered-anarkali-suit-lstv134809.html,"Diwali,Eid,Navratri",https://assets2.andaazfashion.com/media/catalog/product/p/l/plum-purple-georgette-embroidered-anarkali-suit-lstv134809-1.jpg,Plum Purple Georgette Embroidered Anarkali Suit for Special Occasions,Women,Anarkali,Heavy Work,Georgette,Georgette,Plum Purple,"Party Wear, Guest of Wedding Wear, Sangeet, Festival Wear",All-season,72000,17%,Embroidered,"Diwali, Eid, Navratri",Women,"40, 42, 44","Gold, Silver","Heels, Sandals"
18,1751677324-21,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/dark-pink-georgette-embroidered-anarkali-suit-lstv134811.html,"Diwali,Eid,Karva Chauth,Navratri",https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-pink-georgette-embroidered-anarkali-suit-lstv134811-1.jpg,Dark Pink Georgette Embroidered Anarkali Suit,Women,Anarkali,Heavy Work,Georgette,Georgette,Dark Pink,"Party Wear, Guest of Wedding Wear, Sangeet, Festival Wear",All-season,72000,22%,Embroidered,"Diwali, Eid, Karva Chauth, Navratri",Women,,,
19,1751677334-22,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/dark-green-georgette-embroidered-anarkali-suit-lstv134808.html,"Diwali,Eid,Navratri",https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-green-georgette-embroidered-anarkali-suit-lstv134808-1.jpg,Dark Green Color Anarkali Churidar Suit with Zari Embroidery,Women,Anarkali,Fancy,Georgette,Georgette,Dark Green,"Party Wear, Guest of Wedding Wear, Mehndi, Sangeet, Festival Wear",All-season,72000,28%,Zari Embroidery,"Diwali, Eid, Navratri",Women,One size fits most,"Gold, Silver","Heels, Sandals"
20,1751677342-23,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/prussian-blue-georgette-embroidered-anarkali-suit-lstv134810.html,"Diwali,Eid,Navratri",https://assets2.andaazfashion.com/media/catalog/product/p/r/prussian-blue-georgette-embroidered-anarkali-suit-lstv134810-1.jpg,Prussian Blue Georgette Embroidered Anarkali Suit,Women,Anarkali,Heavy Work,Georgette,Georgette,Prussian Blue,"Party Wear, Guest of Wedding Wear, Sangeet, Festival Wear",All-season,72000,43%,Embroidered,"Diwali, Eid, Navratri",Women,"40, 42, 44","Silver, Gold","Heels, Sandals"
21,1751677351-24,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/elegant-satin-and-silk-anarkali-gown-in-hony-orange-color-with-resham-embroidered-dmv12669.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/m/y/myravol428012kk.jpg,Satin Silk Anarkali Gown In Orange Color,Women,Anarkali,Traditional,Satin,Satin,Orange,"Festival Wear, Party Wear, New Year",All-season,39900,72%,"Resham Work, Stone Work, Hand Work, Embroidered Work","Top (Included Lining), Bottom and Scarf",Women,,,
22,1751677367-26,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19,https://www.andaazfashion.com/red-georgette-anarkali-churidar-suit-with-dupatta-dmv13912d-red.html,Santoon,https://assets2.andaazfashion.com/media/catalog/product/d/e/design-no-dmv13912-anarkali-suit-red_1_1_2.jpg,Red Designer Georgette Anarkali Churidar Suit With Dupatta,Women,Anarkali,Traditional,Georgette,Georgette,Black,Red,All-season,39900,43%,Black,Santoon,Women,,,
