,web-scraper-order,web-scraper-start-url,Products-href,Style,Festival ,Image URL-src,product_name,main_category,product_type,style,fabric_top,fabric_bottom,color,occasion,season,price_pkr,discount,work_details,package_contents,worn_by,fit,shoe_color,shoe_style
0,1751699777-1,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/mustard-yellow-cotton-indo-western-mens-kurta-dhoti-mkpa05833.html,Indo-Western,"Diwali,Eid",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/u/mustard-yellow-cotton-indo-western-mens-kurta-dhoti-mkpa05833-1.jpg,Mustard Yellow Cotton Indo-Western Men's Kurta Dhoti,Indian Cloth,Kurta Pajama,Indo-Western,Cotton,Cotton,Mustard Yellow,"Guest of Wedding Wear, Sangeet, Haldi",All-season,31800,43%,Plain Work,Top (Kurta) & Bottom (Pajama),Men,"42, 44, 36-40",Brown,Traditional
1,1751699795-2,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/cotton-burgundy-maroon-indo-western-mens-kurta-dhoti-mkpa05835.html,Indo-Western,"Diwali,Eid,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-burgundy-maroon-indo-western-mens-kurta-dhoti-mkpa05835-1.jpg,Cotton Burgundy Maroon Indo Western Men's Kurta Dhoti,Men,Kurta Pajama,Indo-Western,Cotton,Cotton,Burgundy Maroon,"Guest of Wedding Wear, Sangeet",All-season,31800,19%,Plain Work,Top (Kurta) & Bottom (Pajama),Men,"44, 36-42",Brown,Traditional
2,1751699799-3,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/zari-embroidery-cotton-black-mens-kurta-dhoti-mkpa05836.html,Indo-Western,"Diwali,Eid",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/z/a/zari-embroidery-cotton-black-mens-kurta-dhoti-mkpa05836-1.jpg,Zari Embroidery Cotton Black Men's Kurta Dhoti,Men,Kurta Pajama,Indo-Western,Cotton,Cotton,Pure Black,Sangeet,All-season,39900,43%,Zari Work,Top (Kurta) & Bottom (Pajama),Men,"40, 32-36",Black,Traditional
3,1751699804-4,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/mustard-yellow-cotton-side-slit-mens-kurta-dhoti-mkpa05834.html,Indo-Western,"Diwali,Eid",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/u/mustard-yellow-cotton-side-slit-mens-kurta-dhoti-mkpa05834-1.jpg,Mustard Yellow Cotton Side Slit Men's Kurta Dhoti,Men,Kurta Pajama,Indo-Western,Cotton,Cotton,Mustard Yellow,"Guest of Wedding Wear, Sangeet, Haldi",All-season,31800,43%,Plain Work,Top (Kurta) & Bottom (Pajama),Men,42-46,Brown,Traditional
4,1751699809-5,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/silk-resham-embroidered-cream-straight-cut-mens-dhoti-kurta-mkpa05741.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/i/silk-resham-embroidered-cream-straight-cut-mens-dhoti-kurta-mkpa05741-1.jpg,Silk Resham Embroidered Cream Straight Cut Men's Dhoti Kurta,Pakistani Cloth,Salwar Kameez,Traditional,Silk,Art Silk,Pure Cream,"Wedding Wear, Guest of Wedding Wear, Sangeet, Engagement",All-season,72600,43%,"Resham Work, Sequins Work, Thread Work",Top (Kurta) & Bottom (Pajama),Pakistani Men,"40, 42, 44",Brown,Traditional Sandals
5,1751699817-6,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/resham-embroidered-velvet-black-straight-cut-mens-dhoti-kurta-mkpa05742.html,Straight Cut,Diwali,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/r/e/resham-embroidered-velvet-black-straight-cut-mens-dhoti-kurta-mkpa05742-1.jpg,Resham Embroidered Velvet Black Straight Cut Men's Dhoti Kurta,Men,Kurta Pajama,Straight Cut,Velvet,Art Silk,Pure Black,"Wedding Wear, Guest of Wedding Wear, Sangeet, Engagement",All-season,72000,43%,"Resham Work, Sequins Work, Thread Work",Top (Kurta) & Bottom (Pajama),Men,"40, 32-36",Black,Traditional
6,1751699831-7,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/silk-light-peach-sequins-embroidered-straight-cut-mens-dhoti-kurta-mkpa05740.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/i/silk-light-peach-sequins-embroidered-straight-cut-mens-dhoti-kurta-mkpa05740-1.jpg,Silk Light Peach Sequins Embroidered Straight Cut Men's Dhoti Kurta,Pakistani Cloth,Salwar Kameez,Traditional,Silk,Art Silk,Light Peach,"Wedding Wear, Guest of Wedding Wear, Sangeet, Engagement",All-season,69900,26%,"Resham Work, Sequins Work, Thread Work",Top (Kurta) & Bottom (Pajama),Pakistani Men,"40, 42, 44",Brown,Traditional Sandals
7,1751699842-8,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/cotton-black-resham-thread-work-asymmetrical-mens-kurta-dhoti-mkpa05841.html,Indo-Western,"Diwali,Eid",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-black-resham-thread-work-asymmetrical-mens-kurta-dhoti-mkpa05841-1.jpg,Cotton Black Resham Thread Work Asymmetrical Men's Kurta Dhoti,Men,Kurta Pajama,Indo-Western,Cotton,Cotton,Pure Black,Sangeet,All-season,39900,25%,"Resham Work, Thread Work",Top (Kurta) & Bottom (Pajama),Men,"40, 32-36",Black,Traditional
8,1751699860-9,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/mustard-yellow-resham-embroidered-straight-cut-mens-dhoti-kurta-mkpa05746.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/u/mustard-yellow-resham-embroidered-straight-cut-mens-dhoti-kurta-mkpa05746-1.jpg,Mustard Yellow Resham Embroidered Straight Cut Men's Dhoti Kurta,Men,Kurta Pajama,Traditional,Rayon,Silk,Mustard Yellow,"Wedding Wear, Guest of Wedding Wear, Sangeet, Haldi, Engagement",All-season,43800,43%,"Resham Work, Sequins Work, Thread Work",Top (Kurta) & Bottom (Pajama),Men,Regular Fit,Brown,Traditional Mojari
9,1751699872-10,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/art-silk-navy-blue-assymetrical-mens-dhoti-kurta-with-lace-mkpa06215.html,Indo-Western,"Diwali,Eid,Gur Purab,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/a/r/art-silk-navy-blue-assymetrical-mens-dhoti-kurta-with-lace-mkpa06215-1.jpg,Art Silk Navy Blue Assymetrical Men's Dhoti Kurta With Lace,Men,Kurta Pajama,Indo-Western,Art Silk,Dupion Silk,Navy Blue,"Wedding Wear, Guest of Wedding Wear, Sangeet, Engagement",All-season,47700,21%,Lace Work,Top (Kurta) & Bottom (Pajama),Men,"40, 32-36",Black,Mojari
10,1751699879-11,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/sequins-embroidered-rayon-purple-straight-cut-mens-dhoti-kurta-mkpa05747.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/e/sequins-embroidered-rayon-purple-straight-cut-mens-dhoti-kurta-mkpa05747-1.jpg,Sequins Embroidered Rayon Purple Straight Cut Men's Dhoti Kurta,Men,Kurta Pajama,Traditional,Rayon,Art Silk,Pure Purple,"Wedding Wear, Guest of Wedding Wear, Sangeet, Engagement",All-season,43800,43%,"Resham Work, Sequins Work, Thread Work",Top (Kurta) & Bottom (Pajama),Men,One size fits all,Black,Traditional
11,1751699895-13,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/art-silk-black-assymetrical-mens-dhoti-kurta-with-lace-mkpa06216.html,Indo-Western,"Diwali,Eid",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/a/r/art-silk-black-assymetrical-mens-dhoti-kurta-with-lace-mkpa06216-1.jpg,Art Silk Black Assymetrical Men's Dhoti Kurta With Lace,Men,Kurta Pajama,Indo-Western,Art Silk,Dupion Silk,Pure Black,Sangeet,All-season,47700,43%,Lace Work,Top (Kurta) & Bottom (Pajama),Men,42-46,Black,Traditional
12,1751699899-14,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/art-silk-teal-green-assymetrical-mens-dhoti-kurta-with-lace-mkpa06214.html,Indo-Western,"Diwali,Eid,Gur Purab,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/a/r/art-silk-teal-green-assymetrical-mens-dhoti-kurta-with-lace-mkpa06214-1.jpg,Art Silk Teal Green Assymetrical Men's Dhoti Kurta With Lace,Men,Kurta Pajama,Indo-Western,Art Silk,Dupion Silk,Teal Green,"Guest of Wedding Wear, Mehndi, Sangeet, Engagement",All-season,47700,43%,Lace Work,Top (Kurta) & Bottom (Pajama),Men,"40, 32-36",Brown,Traditional
13,1751699910-15,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/zari-embroidery-royal-blue-cotton-asymmetrical-mens-kurta-dhoti-mkpa05837.html,Asymmetric,"Diwali,Eid,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/z/a/zari-embroidery-royal-blue-cotton-asymmetrical-mens-kurta-dhoti-mkpa05837-1.jpg,Zari Embroidered Royal Blue Cotton Asymmetrical Men's Kurta Dhoti,Pakistani Cloth,Salwar Kameez,Traditional,Cotton,Cotton,Royal Blue,"Wedding Wear, Guest of Wedding Wear, Sangeet, Engagement",All-season,39900,43%,Zari Work,Top (Kurta) & Bottom (Pajama),Pakistani Men,"40, 32-36",Brown,Traditional Sandals
14,1751699946-16,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/dark-black-dupion-silk-straight-cut-mens-dhoti-kurta-mkpa01185.html,Straight Cut,Black,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-black-dupion-silk-straight-cut-mens-dhoti-kurta-mkpa01185-1.jpg,Dark Black Dupion Silk Straight Cut Men's Dhoti Kurta,Men,Trouser Suit,Traditional,Silk,Silk,Dark Black,Wedding,All-season,27600,43%,Thread Work,,Men,,,
15,1751699965-17,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/plain-black-bangalori-silk-men-kurta-dhoti-mkpa0344.html,A Line,Black,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-black-bangalori-silk-men-kurta-dhoti-mkpa0344-1.jpg,Plain Black Bangalori Silk Men Kurta Dhoti,Men,Trouser Suit,A Line,Silk,Silk,Black,Festival,All-season,33900,43%,Plain,Top (Kurta) & Bottom (Pajama),Men,,,
16,1751699975-18,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/plain-light-lavender-purple-bangalori-silk-men-kurta-dhoti-mkpa0337.html,Straight Cut,Purple,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-light-lavender-purple-bangalori-silk-men-kurta-dhoti-mkpa0337-1.jpg,Plain Light Lavender Purple Bangalori Silk Men Kurta Dhoti,Men,Trouser Suit,Traditional,Silk,Silk,Light Lavender Purple,Festival,All-season,33900,43%,Plain,Top (Kurta) & Bottom (Pajama),Men,,,
17,1751699985-19,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/plain-cherry-red-bangalori-silk-men-kurta-dhoti-mkpa0333.html,Straight Cut,Red,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-cherry-red-bangalori-silk-men-kurta-dhoti-mkpa0333-1.jpg,Plain Cherry Red Bangalori Silk Men's Dhoti Kurta,Men,Trouser Suit,Traditional,Silk,Silk,Cherry Red,Festival,All-season,33900,43%,Plain,Top (Kurta) & Bottom (Pajama),Men,"40, 32-36",Black,Traditional
18,1751699997-20,https://www.andaazfashion.com/men/dhoti-kurta?p=9,https://www.andaazfashion.com/plain-cream-beige-bangalori-silk-men-kurta-dhoti-mkpa0341.html,Straight Cut,Beige,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-cream-beige-bangalori-silk-men-kurta-dhoti-mkpa0341-1.jpg,Plain Cream Beige Bangalori Silk Men Kurta Dhoti,Men,Trouser Suit,Traditional,Silk,Silk,Cream Beige,Festival,All-season,33900,43%,Plain,Top (Kurta) & Bottom (Pajama),Men,,,
