,web-scraper-order,web-scraper-start-url,Products-href,Package Content,Image URL-src,product_name,main_category,product_type,style,fabric_top,fabric_bottom,color,occasion,season,price_pkr,discount,work_details,package_contents,worn_by,fit,shoe_color,shoe_style
0,1751698770-1,https://www.andaazfashion.com/kurti-tunic?p=8,https://www.andaazfashion.com/printed-rayon-light-pink-straight-cut-kurti-lkv003657.html,Package :Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/p/r/printed-rayon-light-pink-straight-cut-kurti-lkv003657-1.jpg,Printed Rayon Light Pink Straight Cut Kurti,Women,Kurti,Contemporary,Rayon,Rayon,Light Pink,Casual Wear,Summer,15300,11%,"Gota Patti Work, Printed",Top (Kurti),Women,,,
1,1751698775-2,https://www.andaazfashion.com/kurti-tunic?p=8,https://www.andaazfashion.com/printed-rayon-sage-green-straight-cut-kurti-lkv003658.html,Package :Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/r/printed-rayon-sage-green-straight-cut-kurti-lkv003658-1.jpg,Printed Rayon Sage Green Straight Cut Kurti,Pakistani Cloth,Kurti,Contemporary,Rayon,Rayon,Sage Green,Casual Wear,All-season,13800,43%,"Gota Patti Work, Printed",Top (Kurti),Pakistani Women,"40, 42, 44",Brown,Sandals
2,1751698793-3,https://www.andaazfashion.com/kurti-tunic?p=8,https://www.andaazfashion.com/printed-rayon-blush-pink-straight-cut-kurti-lkv003659.html,Package :Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/r/printed-rayon-blush-pink-straight-cut-kurti-lkv003659-1.jpg,Printed Rayon Blush Pink Straight Cut Kurti,Pakistani Cloth,Kurti,Contemporary,Rayon,Rayon,Blush Pink,Casual Wear,All-season,13800,24%,"Gota Patti Work, Printed",Top (Kurti),Pakistani Women,,,
3,1751698798-4,https://www.andaazfashion.com/kurti-tunic?p=8,https://www.andaazfashion.com/printed-rayon-light-grey-straight-cut-kurti-lkv003660.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/r/printed-rayon-light-grey-straight-cut-kurti-lkv003660-1.jpg,Printed Rayon Light Grey Straight Cut Kurti,Women,Kurti,Contemporary,Rayon,Rayon,Light Grey,Casual Wear,All-season,13800,40%,"Gota Patti Work, Printed",Top (Kurti),Women,,,
4,1751698805-5,https://www.andaazfashion.com/kurti-tunic?p=8,https://www.andaazfashion.com/printed-rayon-olive-green-straight-cut-kurti-lkv003661.html,Package :Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/r/printed-rayon-olive-green-straight-cut-kurti-lkv003661-1.jpg,Printed Rayon Olive Green Straight Cut Kurti,Pakistani Cloth,Kurti,Contemporary,Rayon,Rayon,Olive Green,Casual Wear,All-season,13800,43%,"Gota Patti Work, Printed",Top (Kurti),Pakistani Women,"40, 35-38",Brown,Sandals
5,1751698809-6,https://www.andaazfashion.com/kurti-tunic?p=8,https://www.andaazfashion.com/printed-rayon-mustard-yellow-straight-cut-kurti-lkv003662.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/r/printed-rayon-mustard-yellow-straight-cut-kurti-lkv003662-1.jpg,Printed Rayon Mustard Yellow Straight Cut Kurti,Women,Kurti,Contemporary,Rayon,Rayon,Mustard Yellow,Casual Wear,All-season,18900,28%,"Gota Patti Work, Printed",Top (Kurti),Women,,,
6,1751698812-7,https://www.andaazfashion.com/kurti-tunic?p=8,https://www.andaazfashion.com/dark-black-rayon-embroidered-kurti-lkv002275.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-black-rayon-embroidered-kurti-lkv002275-1.jpg,Rayon Dark Black Resham Embroidered Party Wear Kurti,Pakistani Cloth,Kurti,Traditional,Rayon,Rayon,Dark Black,Festival Wear,All-season,22500,13%,"Resham Work, Thread Work, Zari",Top (Kurti),Pakistani Women,One Size,Black,Sandals
7,1751698816-8,https://www.andaazfashion.com/kurti-tunic?p=8,https://www.andaazfashion.com/light-yellow-cotton-straight-cut-kurti-lkv001912.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-yellow-cotton-straight-cut-kurti-lkv001912-1.jpg,Light Yellow Cotton Straight Cut Kurti,Indian Cloth,Kurti,Printed,Cotton,Cotton,Light Yellow,Festival Wear,Summer,13800,24%,Printed,Top (Kurti),Indian Women,,,
8,1751698819-9,https://www.andaazfashion.com/kurti-tunic?p=8,https://www.andaazfashion.com/dusty-blue-cotton-straight-cut-kurti-lkv001884.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/u/dusty-blue-cotton-straight-cut-kurti-lkv001884-1.jpg,Dusty Blue Cotton Straight Cut Kurti,Indian Cloth,Kurti,Contemporary,Cotton,Cotton,Dusty Blue,Festival Wear,Summer,13500,15%,"Beads Work, Thread Work, Printed",Top (Kurti),Indian Women,One Size,Matching,Sandals
9,1751698824-10,https://www.andaazfashion.com/kurti-tunic?p=8,https://www.andaazfashion.com/bluish-grey-cotton-printed-short-casual-wear-kurti-lkv004070.html,Package : Top (Kurti),https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/l/bluish-grey-cotton-printed-short-casual-wear-kurti-lkv004070-1.jpg,Bluish Grey Cotton Printed Short Casual Wear Kurti,Women,Kurti,Contemporary,Cotton,Cotton,Bluish Grey,Casual Wear,All-season,17700,43%,Printed,Top (Kurti),Women,,,
