,web-scraper-start-url,Products-href,Image URL-src,product_name,main_category,color,occasion,season,price_pkr,discount,work_details,shoe_color,shoe_style,Gender,fit_type,categorize_outfit,Category Style,fabric
0,https://www.andaazfashion.co.uk/men/kurta-pajama?p=55,https://www.andaazfashion.co.uk/green-embroidered-dupion-silk-mens-kurta-churidar-mkpa08956.html,https://assets2.andaazfashion.com/media/catalog/product/g/r/green-embroidered-dupion-silk-mens-kurta-churidar-mkpa08956-1.jpg,Green Embroidered Dupion Silk Men's Kurta Churidar,Men's Ethnic Wear,Pure Green,Other,Spring,23700,27%,Zari Work,Black,Traditional,Male,Single Size,Churidar Suit,Contemporary,Silk
1,https://www.andaazfashion.co.uk/men/kurta-pajama?p=7,https://www.andaazfashion.co.uk/embroidered-dupion-silk-trombone-yellow-men-kurta-pajama-mkpa02749.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/e/m/embroidered-dupion-silk-trombone-yellow-men-kurta-pajama-mkpa02749-1.jpg,Embroidered Dupion Silk Trombone Yellow Men Kurta Pajama,Men's Ethnic Wear,Trombone Yellow,Wedding/Formal,Summer,72600,43,"Resham Work, Thread Work",Brown,Traditional,Male,Mixed Range,Kurta Set,Traditional,Silk
2,https://www.andaazfashion.co.uk/men/kurta-pajama?p=23,https://www.andaazfashion.co.uk/black-georgette-mens-kurta-pajama-with-embroidered-jacket-mstv04336.html,https://assets2.andaazfashion.com/media/catalog/product/b/l/black-georgette-mens-kurta-pajama-with-embroidered-jacket-mstv04336-1.jpg,Black Georgette Men's Kurta Pajama With Embroidered Jacket,Men's Ethnic Wear,Pure Black,Wedding/Formal,Winter,89700,11%,Sequins Work,Black,Traditional,Male,Single Size,Nehru Jacket,Fancy,Synthetic
3,https://www.andaazfashion.co.uk/men/kurta-pajama?p=46,https://www.andaazfashion.co.uk/cotton-silk-pastel-pink-jacket-style-mens-plain-kurta-churidar-mkpa07531.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-silk-pastel-pink-jacket-style-mens-plain-kurta-churidar-mkpa07531-1.jpg,Cotton Silk Pastel Pink Jacket Style Men's Plain Kurta Churidar,Men's Ethnic Wear,Pastel Pink,Wedding/Formal,Summer,43500,35,Plain Work,Peach,Traditional,Male,Range,Jacket Style Outfit,Traditional,Cotton
4,https://www.andaazfashion.co.uk/men/sherwani?p=34,https://www.andaazfashion.co.uk/mint-green-silk-embroidered-mens-sherwani-for-engagement-mstv03804.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/i/mint-green-silk-embroidered-mens-sherwani-for-engagement-mstv03804-1.jpg,Mint Green Silk Embroidered Men's Sherwani For Engagement,Men's Ethnic Wear,Mint Green,Wedding/Formal,Winter,121200,43,"Beads Work, Resham Work, Sequins Work, Stone Work, Thread Work",Black,Traditional,Male,Single Size,Sherwani,Traditional,Silk
5,https://www.andaazfashion.co.uk/men/sherwani?p=30,https://www.andaazfashion.co.uk/off-white-silk-wedding-sherwani-with-dhoti-pant-mkpv0117.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/o/f/off-white-silk-wedding-sherwani-with-dhoti-pant-mkpv0117-1.jpg,Off White Silk Wedding Kurta With Dhoti Pant,Indian Cloth,Off White,Wedding/Formal,Summer,32700,43,Plain Work,Brown,Traditional,Male,Single Size,Indo Western Dhoti Set,Traditional,Silk
6,https://www.andaazfashion.co.uk/men/sherwani?p=24,https://www.andaazfashion.co.uk/woven-silk-white-men-sherwani-mstv01972.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/o/woven-silk-white-men-sherwani-mstv01972-1.jpg,Woven Silk White Men Sherwani,Men's Ethnic Wear,Pure White,Wedding/Formal,Summer,58200,43%,Woven,Matching,Traditional,Male,Single Size,Sherwani,Traditional,Silk
7,https://www.andaazfashion.co.uk/men/sherwani?p=62,https://www.andaazfashion.co.uk/exclusive-woven-charcoal-grey-mens-kurta-churidar-mkpa04588.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/e/x/exclusive-woven-charcoal-grey-mens-kurta-churidar-mkpa04588-1.jpg,Exclusive Woven Charcoal Grey Men's Kurta Churidar,Men's Ethnic Wear,Charcoal Grey,Wedding/Formal,Winter,37200,23%,Plain Work,Beige-Dark,Traditional,Male,Single Size,Churidar Suit,Fancy,Silk
8,https://www.andaazfashion.co.uk/men/sherwani?p=66,https://www.andaazfashion.co.uk/cotton-embroidered-mint-green-straight-cut-mens-kurta-churidar-mkpa05762.html,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-embroidered-mint-green-straight-cut-mens-kurta-churidar-mkpa05762-1.jpg,Cotton Embroidered Mint Green Straight Cut Men's Kurta Churidar,Men's Ethnic Wear,Mint Green,Casual,Summer,29700,43%,"Patch Work, Resham Work, Thread Work",Brown,Traditional,Male,Single Size,Churidar Suit,Traditional,Cotton
9,https://www.andaazfashion.co.uk/men/weddingwear?p=68,https://www.andaazfashion.co.uk/banarasi-silk-printed-mens-kurta-churidar-in-mint-blue-mkpa04505.html,https://assets2.andaazfashion.com/media/catalog/product/b/a/banarasi-silk-printed-mens-kurta-churidar-in-mint-blue-mkpa04505-1.jpg,Banarasi Silk Printed Men's Kurta Churidar in Mint Blue,Men's Ethnic Wear,Mint Blue,Wedding/Formal,Spring,19200,43%,"Resham Work, Thread Work, Printed",Brown,Traditional,Male,Single Size,Churidar Suit,Traditional,Silk
