,product_name,main_category,Category Style,categorize_outfit,occasion,season,Gender,fit_type,fabric,work_details,color_category,shoe_color,shoe_style,price_pkr,discount,Image URL-src,Products-href,web-scraper-start-url
1,Embroidered Dupion Silk Trombone Yellow Men Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Summer,Male,Mixed Range,Silk,"Resham Work, Thread Work",Yellows,Brown,Traditional,72600,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/e/m/embroidered-dupion-silk-trombone-yellow-men-kurta-pajama-mkpa02749-1.jpg,https://www.andaazfashion.co.uk/embroidered-dupion-silk-trombone-yellow-men-kurta-pajama-mkpa02749.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=7
2,Black Georgette Men's Kurta Pajama With Embroidered Jacket,Men's Ethnic Wear,Fancy,Nehru Jacket,Wedding/Formal,Winter,Male,Single Size,Synthetic,Sequins Work,Black & Greys,Black,Traditional,89700,11.0,https://assets2.andaazfashion.com/media/catalog/product/b/l/black-georgette-mens-kurta-pajama-with-embroidered-jacket-mstv04336-1.jpg,https://www.andaazfashion.co.uk/black-georgette-mens-kurta-pajama-with-embroidered-jacket-mstv04336.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=23
3,Cotton Silk Pastel Pink Jacket Style Men's Plain Kurta Churidar,Men's Ethnic Wear,Traditional,Jacket Style Outfit,Wedding/Formal,Summer,Male,Range,Cotton,Plain Work,Pinks,Peach,Traditional,43500,35.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-silk-pastel-pink-jacket-style-mens-plain-kurta-churidar-mkpa07531-1.jpg,https://www.andaazfashion.co.uk/cotton-silk-pastel-pink-jacket-style-mens-plain-kurta-churidar-mkpa07531.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=46
4,Mint Green Silk Embroidered Men's Sherwani For Engagement,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,"Beads Work, Resham Work, Sequins Work, Stone Work, Thread Work",Greens,Black,Traditional,121200,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/i/mint-green-silk-embroidered-mens-sherwani-for-engagement-mstv03804-1.jpg,https://www.andaazfashion.co.uk/mint-green-silk-embroidered-mens-sherwani-for-engagement-mstv03804.html,https://www.andaazfashion.co.uk/men/sherwani?p=34
5,Off White Silk Wedding Kurta With Dhoti Pant,Indian Cloth,Traditional,Indo Western Dhoti Set,Wedding/Formal,Summer,Male,Single Size,Silk,Plain Work,White & Off‑Whites,Brown,Traditional,32700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/o/f/off-white-silk-wedding-sherwani-with-dhoti-pant-mkpv0117-1.jpg,https://www.andaazfashion.co.uk/off-white-silk-wedding-sherwani-with-dhoti-pant-mkpv0117.html,https://www.andaazfashion.co.uk/men/sherwani?p=30
6,Woven Silk White Men Sherwani,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Summer,Male,Single Size,Silk,Woven,White & Off‑Whites,Matching,Traditional,58200,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/o/woven-silk-white-men-sherwani-mstv01972-1.jpg,https://www.andaazfashion.co.uk/woven-silk-white-men-sherwani-mstv01972.html,https://www.andaazfashion.co.uk/men/sherwani?p=24
7,Exclusive Woven Charcoal Grey Men's Kurta Churidar,Men's Ethnic Wear,Fancy,Churidar Suit,Wedding/Formal,Winter,Male,Single Size,Silk,Plain Work,Black & Greys,Beige-Dark,Traditional,37200,23.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/e/x/exclusive-woven-charcoal-grey-mens-kurta-churidar-mkpa04588-1.jpg,https://www.andaazfashion.co.uk/exclusive-woven-charcoal-grey-mens-kurta-churidar-mkpa04588.html,https://www.andaazfashion.co.uk/men/sherwani?p=62
8,Cotton Embroidered Mint Green Straight Cut Men's Kurta Churidar,Men's Ethnic Wear,Traditional,Churidar Suit,Casual,Summer,Male,Single Size,Cotton,"Patch Work, Resham Work, Thread Work",Greens,Brown,Traditional,29700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-embroidered-mint-green-straight-cut-mens-kurta-churidar-mkpa05762-1.jpg,https://www.andaazfashion.co.uk/cotton-embroidered-mint-green-straight-cut-mens-kurta-churidar-mkpa05762.html,https://www.andaazfashion.co.uk/men/sherwani?p=66
9,Banarasi Silk Printed Men's Kurta Churidar in Mint Blue,Men's Ethnic Wear,Traditional,Churidar Suit,Wedding/Formal,Spring,Male,Single Size,Silk,"Resham Work, Thread Work, Printed",Greens,Brown,Traditional,19200,43.0,https://assets2.andaazfashion.com/media/catalog/product/b/a/banarasi-silk-printed-mens-kurta-churidar-in-mint-blue-mkpa04505-1.jpg,https://www.andaazfashion.co.uk/banarasi-silk-printed-mens-kurta-churidar-in-mint-blue-mkpa04505.html,https://www.andaazfashion.co.uk/men/weddingwear?p=68
11,Embroidered Men's Sherwani in Art Silk Pastel Dark Blue,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Winter,Male,Range,Silk,"Resham Work, Thread Work",Blues,Black,Traditional,58200,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/e/m/embroidered-mens-sherwani-in-art-silk-pastel-dark-blue-mstv03597-1.jpg,https://www.andaazfashion.co.uk/embroidered-mens-sherwani-in-art-silk-pastel-dark-blue-mstv03597.html,https://www.andaazfashion.co.uk/men/sherwani?p=33
